lambda|psi_deg|delta_deg|n|k|thickness|material
250.0|3.8718373207564007|1.5467006389707303|1.517462|0.00026|50|SiO2
255.0|3.8221314363559045|0.7845094320115514|1.515228|0.00024|50|SiO2
260.0|3.772892447693921|0.0881786091064162|1.513136|0.000222|50|SiO2
265.0|3.724400403336825|359.4532801124413|1.511173|0.000206|50|SiO2
270.0|3.6769067356047525|358.8752474911886|1.509329|0.000191|50|SiO2
275.0|3.6306002972782303|358.35082777356376|1.507595|0.000179|50|SiO2
280.0|3.5855771670975636|357.8750686537272|1.505961|0.000167|50|SiO2
285.0|3.5419707673689396|357.4451391307647|1.504421|0.000157|50|SiO2
290.0|3.4997927121130266|357.0573017023478|1.502966|0.000148|50|SiO2
295.0|3.45908473858412|356.7080028233225|1.50159|0.000139|50|SiO2
300.0|3.419884610458099|356.3950469546384|1.500288|0.000132|50|SiO2
305.0|3.3821930968325904|356.11484796635216|1.499055|0.000125|50|SiO2
310.0|3.34596761546795|355.86487790917465|1.497885|0.000118|50|SiO2
315.0|3.311197686946|355.6431176565656|1.496774|0.000112|50|SiO2
320.0|3.277876786627788|355.44725439670077|1.495719|0.000107|50|SiO2
325.0|3.245934118495833|355.27490077954457|1.494715|0.000102|50|SiO2
330.0|3.2148295296858787|355.0853573467708|1.493759|0.0|50|SiO2
335.0|3.1855524773498893|354.95631372548735|1.492849|0.0|50|SiO2
340.0|3.1575365840246903|354.8453874379383|1.491981|0.0|50|SiO2
345.0|3.130727246637061|354.75108460456255|1.491152|0.0|50|SiO2
350.0|3.105108079371707|354.6718175027408|1.490361|0.0|50|SiO2
355.0|3.0806152775575733|354.60634951198|1.489605|0.0|50|SiO2
360.0|3.0572035733009013|354.55345285129295|1.488882|0.0|50|SiO2
365.0|3.0348048293092544|354.51215503503903|1.488189|0.0|50|SiO2
370.0|3.013430863756012|354.48102764154527|1.487527|0.0|50|SiO2
375.0|2.9929698820953656|354.4595969136802|1.486891|0.0|50|SiO2
380.0|2.973430294208431|354.44660712600285|1.486282|0.0|50|SiO2
385.0|2.954759136562284|354.44132619809835|1.485698|0.0|50|SiO2
390.0|2.936903716688541|354.4431162768113|1.485137|0.0|50|SiO2
395.0|2.919830617965144|354.45125487276243|1.484598|0.0|50|SiO2
400.0|2.9035061432916263|354.4650850588415|1.48408|0.0|50|SiO2
405.0|2.887896555632587|354.4840124397327|1.483582|0.0|50|SiO2
410.0|2.8729504492419826|354.50768906568675|1.483102|0.0|50|SiO2
415.0|2.8586705304568905|354.53526637117153|1.482641|0.0|50|SiO2
420.0|2.845005928220598|354.56650185207496|1.482197|0.0|50|SiO2
425.0|2.8319074746576294|354.60121881994553|1.481768|0.0|50|SiO2
430.0|2.819394731837939|354.6384942263924|1.481356|0.0|50|SiO2
435.0|2.807402459826703|354.6784345903846|1.480958|0.0|50|SiO2
440.0|2.795900815141649|354.720798243251|1.480573|0.0|50|SiO2
445.0|2.784908709495853|354.76474904377295|1.480203|0.0|50|SiO2
450.0|2.7743487084116034|354.810736523188|1.479844|0.0|50|SiO2
455.0|2.764240110069799|354.85797930313385|1.479498|0.0|50|SiO2
460.0|2.754554597342951|354.90635402209966|1.479164|0.0|50|SiO2
465.0|2.7452648898925247|354.9557684408607|1.478841|0.0|50|SiO2
470.0|2.7363447451835547|355.0061590434204|1.478528|0.0|50|SiO2
475.0|2.7277834485599675|355.0572635759597|1.478225|0.0|50|SiO2
480.0|2.719570388897244|355.10883659063245|1.477932|0.0|50|SiO2
485.0|2.71169508413499|355.16064866585623|1.477649|0.0|50|SiO2
490.0|2.7041195674587226|355.212946485739|1.477374|0.0|50|SiO2
495.0|2.6968349834414753|355.2655394483654|1.477107|0.0|50|SiO2
500.0|2.689845999643021|355.3180160816253|1.476849|0.0|50|SiO2
505.0|2.6831302417946574|355.37044082882227|1.476599|0.0|50|SiO2
510.0|2.6766663443242944|355.4228947410757|1.476356|0.0|50|SiO2
515.0|2.670459456023846|355.4750001107586|1.476121|0.0|50|SiO2
520.0|2.664476378308254|355.5270984321746|1.475892|0.0|50|SiO2
525.0|2.65872277681497|355.57883167623936|1.47567|0.0|50|SiO2
530.0|2.653191512194081|355.6300861878508|1.475455|0.0|50|SiO2
535.0|2.6478516214519177|355.68123709469177|1.475245|0.0|50|SiO2
540.0|2.64272103215001|355.7317085090277|1.475042|0.0|50|SiO2
545.0|2.6377698318102962|355.78189252840497|1.474844|0.0|50|SiO2
550.0|2.6330040615580117|355.8314659829747|1.474652|0.0|50|SiO2
555.0|2.6283953564762643|355.8808371714615|1.474464|0.0|50|SiO2
560.0|2.623972423523906|355.9292087044782|1.474283|0.0|50|SiO2
565.0|2.6196964127453763|355.97724336237945|1.474106|0.0|50|SiO2
570.0|2.6155629521433266|356.024882109308|1.473933|0.0|50|SiO2
575.0|2.6115890239724475|356.07158278054493|1.473766|0.0|50|SiO2
580.0|2.607738146238921|356.11802499574634|1.473602|0.0|50|SiO2
585.0|2.6040273821667195|356.16367438770044|1.473443|0.0|50|SiO2
590.0|2.6004422021945395|356.2087312494329|1.473288|0.0|50|SiO2
595.0|2.596978805735762|356.2531555333018|1.473137|0.0|50|SiO2
600.0|2.5936334987808696|356.2969103174171|1.47299|0.0|50|SiO2
605.0|2.5904026922172387|356.3399616288231|1.472847|0.0|50|SiO2
610.0|2.5872733179699257|356.38252192253367|1.472707|0.0|50|SiO2
