wl,n
1.53941,1.62158
1.54036,1.62157
1.54131,1.62156
1.54226,1.62155
1.54321,1.62153
1.54416,1.62152
1.54512,1.62151
1.54607,1.62150
1.54703,1.62149
1.54799,1.62148
1.54895,1.62147
1.54991,1.62145
1.55087,1.62144
1.55183,1.62143
1.55280,1.62142
1.55376,1.62141
1.55473,1.62140
1.55569,1.62138
1.55666,1.62137
1.55763,1.62136
1.55860,1.62135
1.55958,1.62134
1.56055,1.62133
1.56152,1.62131
1.56250,1.62130
1.56348,1.62129
1.56446,1.62128
1.56544,1.62127
1.56642,1.62125
1.56740,1.62124
1.56838,1.62123
1.56937,1.62122
1.57035,1.62121
1.57134,1.62119
1.57233,1.62118
1.57332,1.62117
1.57431,1.62116
1.57530,1.62115
1.57629,1.62113
1.57729,1.62112
1.57828,1.62111
1.57928,1.62110
1.58028,1.62108
1.58128,1.62107
1.58228,1.62106
1.58328,1.62105
1.58428,1.62104
1.58529,1.62102
1.58629,1.62101
1.58730,1.62100
1.58831,1.62099
1.58932,1.62097
1.59033,1.62096
1.59134,1.62095
1.59236,1.62094
1.59337,1.62092
1.59439,1.62091
1.59541,1.62090
1.59642,1.62088
1.59744,1.62087
1.59847,1.62086
1.59949,1.62085
1.60051,1.62083
1.60154,1.62082
1.60256,1.62081
1.60359,1.62080
1.60462,1.62078
1.60565,1.62077
1.60668,1.62076
1.60772,1.62074
1.60875,1.62073
1.60979,1.62072
1.61082,1.62071
1.61186,1.62069
1.61290,1.62068
1.61394,1.62067
1.61499,1.62065
1.61603,1.62064
1.61708,1.62063
1.61812,1.62061
1.61917,1.62060
1.62022,1.62059
1.62127,1.62057
1.62232,1.62056
1.62338,1.62055
1.62443,1.62053
1.62549,1.62052
1.62655,1.62051
1.62760,1.62049
1.62866,1.62048
1.62973,1.62047
1.63079,1.62045
1.63185,1.62044
1.63292,1.62043
1.63399,1.62041
1.63506,1.62040
1.63613,1.62039
1.63720,1.62037
1.63827,1.62036
1.63934,1.62034
1.64042,1.62033
1.64150,1.62032
