n_true,k_true,n_ML,k_ML,n_classic,k_classic,error_n_ML,error_k_ML,error_n_classic,error_k_classic,time_ML,time_classic
1.017,1.1,1.573174,0.06713337,1.3077339394747463,0.3181980402718548,0.556173999786377,1.032866632938385,0.29073393947474635,0.7818019597281454,0.00597691535949707,0.5979115962982178
1.017,1.1,2.0484986,0.31989115,1.3077339394747463,0.3181980402718548,1.0314986305236817,0.7801088452339173,0.29073393947474635,0.7818019597281454,0.0010008811950683594,0.6379873752593994
1.017,1.1,1.7793081,-0.013737068,1.3077339394747463,0.3181980402718548,0.7623080806732179,1.1137370675802232,0.29073393947474635,0.7818019597281454,0.0010027885437011719,0.6183781623840332
1.017,1.1,1.6379509,-0.032406256,1.3077339394747463,0.3181980402718548,0.620950897216797,1.1324062556028367,0.29073393947474635,0.7818019597281454,0.0010209083557128906,0.5768678188323975
1.017,1.1,1.5725822,-0.033826903,1.3077339394747463,0.3181980402718548,0.555582244873047,1.1338269025087357,0.29073393947474635,0.7818019597281454,0.0,0.5919613838195801
1.017,1.1,1.5552781,-0.03217329,1.3077339394747463,0.3181980402718548,0.5382780628204347,1.132173290848732,0.29073393947474635,0.7818019597281454,0.0009949207305908203,0.5554492473602295
1.017,1.1,1.5550978,-0.03271477,1.3077339394747463,0.3181980402718548,0.5380978183746339,1.1327147692441941,0.29073393947474635,0.7818019597281454,0.0010004043579101562,0.5912933349609375
1.017,1.1,1.5582621,-0.03355576,1.3077339394747463,0.3181980402718548,0.5412621097564698,1.1335557609796525,0.29073393947474635,0.7818019597281454,0.0009644031524658203,0.5954999923706055
1.62158,8e-05,2.2527153,0.93390214,0.8331253063782006,0.12653664848155471,0.6311353491973877,0.9338221444320679,0.7884546936217994,0.12645664848155472,0.0011065006256103516,0.8003244400024414
1.62158,8e-05,2.3151593,0.9216605,0.8331253063782006,0.12653664848155471,0.6935793208312988,0.9215804828834534,0.7884546936217994,0.12645664848155472,0.0010266304016113281,0.8312773704528809
1.62158,8e-05,2.37638,0.9826439,0.8331253063782006,0.12653664848155471,0.7547999667358398,0.9825639023017884,0.7884546936217994,0.12645664848155472,0.0009987354278564453,0.8494064807891846
1.62158,8e-05,2.4247394,1.1037282,0.8331253063782006,0.12653664848155471,0.8031593608093262,1.103648175163269,0.7884546936217994,0.12645664848155472,0.0010037422180175781,0.8749878406524658
1.62158,8e-05,2.4172544,1.2537496,0.8331253063782006,0.12653664848155471,0.7956744479370117,1.2536696089935302,0.7884546936217994,0.12645664848155472,0.0,0.8317019939422607
1.62158,8e-05,4.509526,5.6019583,0.8331253063782006,0.12653664848155471,2.887945775909424,5.601878274841309,0.7884546936217994,0.12645664848155472,0.0010027885437011719,0.868004560470581
1.62158,8e-05,4.253426,5.1319227,0.8331253063782006,0.12653664848155471,2.6318460749816897,5.131842721862793,0.7884546936217994,0.12645664848155472,0.0010035037994384766,0.8863370418548584
